_________,________,_____,_____,________,___,https://ru.wikipedia.org/wiki/%D0%A8%D0%BF%D0%B0%D0%B6%D0%BD%D0%B8%D0%BA
________,_______,_______,_____,____,___,https://ru.wikipedia.org/wiki/%D0%AF%D0%B8%D1%87%D0%BD%D0%B8%D1%86%D0%B0
________,_______,_______,__________ __________,________,______________,https://irunning.com.ua/trenirovki/sprosi-u-trenera/80681-cto-takoe-glikogen-i-kakie-vozmonosti-on-daet-begunam
_______,_____,_____,_________,________ ____________,_____,https://ru.wikipedia.org/wiki/%D0%93%D0%BB%D0%B8%D1%81%D1%81%D0%B5%D1%80
_________,c_____,c______,_______,__________,____ __________ _______ _ ___________ _____,https://ru.wikipedia.org/wiki/%D0%93%D0%BB%D0%BE%D1%81%D1%81%D0%B0%D1%80%D0%B8%D0%B9
________,_____________ ____ ____________ _______,_______ _______,_______,________,______,https://ru.wikipedia.org/wiki/%D0%93%D0%BB%D1%83%D1%82%D0%B0%D0%BC%D0%B8%D0%BD%D0%BE%D0%B2%D0%B0%D1%8F_%D0%BA%D0%B8%D1%81%D0%BB%D0%BE%D1%82%D0%B0
_________,______,_________,______,_____________,c_________ __ _____,https://www.profguide.io/professions/glaciologist.html
_______,_________,________,______,___________,______ ______________ ________,https://ru.wiktionary.org/wiki/%D0%B3%D0%BE%D0%B1%D0%BE%D0%B8%D1%81%D1%82
_______,____________ ____,_________,________,_________ ____,________ ____,https://ru.wikipedia.org/wiki/%D0%9B%D1%83%D1%87%D0%B5%D0%BF%D1%91%D1%80%D1%8B%D0%B5_%D1%80%D1%8B%D0%B1%D1%8B
_________,____________ ____,_________,________,______,_________ ____,https://fish.academic.ru/1538
_______,_________ __________ _________________,____________,_______,,,https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D0%BC%D0%BE%D1%84%D0%BE%D0%B1%D0%B8%D1%8F
____,______,__________,_______,_____________ _______,_____,https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D0%BD%D0%B3
_____,_____,______,___________,________,________,https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D0%BD%D0%B3
______,___,________,_____________,_________,__________ _______,https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D0%BF%D0%B0%D0%BA
________,_________,__________,___________,_________ ____________,___________,https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D1%80%D0%B5%D0%BB%D1%8C%D0%B5%D1%84
_______,_______,____,________,_______,________,https://russian7.ru/post/chem-ukrainskaya-gorilka-otlichaetsya-ot/
________,________,_____,_____,________,___,https://ru.wikipedia.org/wiki/%D0%90%D0%B4%D0%BE%D0%BD%D0%B8%D1%81_%D0%B2%D0%B5%D1%81%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9#%D0%9D%D0%B0%D0%B7%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5
_______,_________,________,______,___________,________ ______ __ _____,https://kartaslov.ru/%D0%BA%D0%B0%D1%80%D1%82%D0%B0-%D1%81%D0%BB%D0%BE%D0%B2%D0%B0/%D0%B3%D0%BE%D1%80%D0%BD%D0%B8%D1%81%D1%82
_________,________,_____,_____,________,___,https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D1%80%D1%82%D0%B5%D0%BD%D0%B7%D0%B8%D1%8F
______,__________,___________,____________,_________,________ _________,https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D1%85%D1%80%D0%B0%D0%BD_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B8
_______,__________,_______,________,______,_______,https://ru.wikipedia.org/wiki/%D0%93%D1%80%D0%B0%D0%B4%D0%B8%D0%BD%D0%B0
________,__________,_____,_______,______________,__________,https://ru.wikipedia.org/wiki/%D0%93%D1%80%D0%B0%D0%B4%D0%B8%D1%80%D0%BD%D1%8F
______,_____,______,______,_______,__________,https://ru.wikipedia.org/wiki/%D0%93%D1%80%D0%B0%D0%BD%D0%BA%D0%B8_(%D0%B8%D0%B7%D0%B4%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%BE%D0%B5_%D0%B4%D0%B5%D0%BB%D0%BE)
______________,_______ ___________,____________ _______ ______,________,___________,_______,http://www.xumuk.ru/encyklopedia/1143.html